Distance [mm];By [];Bag;#;;;
74,42903857;0,463398541;0,453;138;1,728506801;0,503670624;99,03614457
74,97231622;0,462541686;0,453;139;1,741123639;0,502619963;99,75903614
75,51559388;0,461664515;0,453;140;1,753740477;0,501489293;100,4819277
76,05887153;0,46076703;0,453;141;1,766357315;0,500278795;101,2048193
76,60214919;0,459849232;0,453;142;1,778974153;0,498988662;101,9277108
77,14542684;0,458911123;0,453;143;1,791590991;0,497619098;102,6506024
77,68870449;0,457952705;0,453;144;1,804207829;0,496170322;103,373494
78,23198215;0,456973979;0,453;145;1,816824667;0,494642565;104,0963855
78,7752598;0,455974947;0,453;146;1,829441505;0,493036069;104,8192771
79,31853746;0,454955611;0,453;147;1,842058343;0,49135109;105,5421687
79,86181511;0,453915972;0,453;148;1,854675181;0,489587897;106,2650602
80,40509276;0,452856032;0,453;149;1,867292019;0,48774677;106,9879518
80,94837042;0,451775794;0,453;150;1,879908857;0,485828002;107,7108434
81,49164807;0,450675257;0,453;151;1,892525695;0,483831899;108,4337349
82,03492572;0,449554425;0,453;152;1,905142533;0,481758778;109,1566265
82,57820338;0,448413299;0,453;153;1,917759371;0,47960897;109,8795181
83,12148103;0,447251881;0,453;154;1,930376209;0,477382816;110,6024096
83,66475869;0,446070171;0,453;155;1,942993047;0,475080672;111,3253012
84,20803634;0,444868173;0,453;156;1,955609885;0,472702903;112,0481928
84,75131399;0,443645887;0,453;157;1,968226723;0,470249888;112,7710843
85,29459165;0,442381283;0,453;158;1,980843561;0,467722017;113,4939759
85,8378693;0,441083556;0,453;159;1,993460399;0,465119693;114,2168675
86,38114695;0,439760424;0,453;160;2,006077236;0,46244333;114,939759
86,92442461;0,438411887;0,453;161;2,018694075;0,459693355;115,6626506
87,46770226;0,437037944;0,453;162;2,031310912;0,456870204;116,3855422
88,01097992;0,435638594;0,453;163;2,043927751;0,453974328;117,1084337
88,55425757;0,434213837;0,453;164;2,056544588;0,451006186;117,8313253
89,09753522;0,432763672;0,453;165;2,069161426;0,447966253;118,5542169
89,64081288;0,431288098;0,453;166;2,081778264;0,444855011;119,2771084
90,18409053;0,429787114;0,453;167;2,094395102;0,441672956;120
90,72736819;0,428260719;0,453;168;2,10701194;0,438420594;120,7228916
91,27064584;0,426708913;0,453;169;2,119628778;0,435098444;121,4457831
91,81392349;0,425131694;0,453;170;2,132245616;0,431707033;122,1686747
92,35720115;0,423529063;0,453;171;2,144862454;0,428246902;122,8915663
92,9004788;0,421901018;0,453;172;2,157479292;0,424718602;123,6144578
93,44375645;0,420247558;0,453;173;2,17009613;0,421122694;124,3373494
93,98703411;0,418236214;0,453;174;2,182712968;0,417459751;125,060241
94,53031176;0,415830041;0,453;175;2,195329806;0,413730356;125,7831325
95,07358942;0,413489752;0,453;176;2,207946644;0,409935101;126,5060241
95,61686707;0,41087604;0,453;177;2,220563482;0,406074593;127,2289157
