"Distance [mm],""Bz []""";;;;
0;;;;
0.19373154697137,;;;;
0.387463093942741,;;;;
0.581194640914111,;;;;
0.774926187885482,;;;;
0.968657734856852,;;;;
40,29616177;0,596308255;0,57;156;0,592550214
40,48989332;0,593425351;0,57;157;0,588342813
40,68362486;0,590508566;0,57;158;0,584032901
40,87735641;0,587557879;0,57;159;0,579621229
41,07108796;0,584573271;0,57;160;0,575108566
41,2648195;0,581554723;0,57;161;0,570495698
41,45855105;0,578502217;0,57;162;0,565783429
41,6522826;0,575415732;0,57;163;0,560972579
41,84601415;0,57229525;0,57;164;0,556063988
42,03974569;0,569140751;0,57;165;0,55105851
42,23347724;0,565952216;0,57;166;0,545957017
42,42720879;0,562729627;0,57;167;0,540760398
42,62094033;0,559472964;0,57;168;0,53546956
42,81467188;0,556182208;0,57;169;0,530085422
43,00840343;0,552857339;0,57;170;0,524608925
43,20213497;0,54949834;0,57;171;0,519041021
43,39586652;0,54610519;0,57;172;0,513382681
43,58959807;0,542677872;0,57;173;0,507634892
43,78332962;0,539216365;0,57;174;0,501798653
43,97706116;0,535720651;0,57;175;0,495874983
44,17079271;0,533281977;0,57;176;0,489864914
44,36452426;0,5309087;0,57;177;0,483769492
44,5582558;0,528475588;0,57;178;0,477589779
44,75198735;0,52598265;0,57;179;0,471326853
44,9457189;0,523429897;0,57;180;0,464981805
45,13945044;0,520817338;0,57;181;0,458555739
45,33318199;0,518144983;0,57;182;0,452049777
45,52691354;0,515412841;0,57;183;0,445465051
45,72064509;0,511847258;0,57;184;0,438802708
45,91437663;0,508292786;0,57;185;0,43206391
46,10810818;0,504804237;0,57;186;0,425249831
46,30183973;0,501381599;0,57;187;0,418361657
46,49557127;0,494840782;0,57;188;0,41140059
46,68930282;0,485775223;0,57;189;0,404367841
46,88303437;0,47677889;0,57;190;0,397264637
47,07676591;0,467851769;0,57;191;0,390092214
47,27049746;0,458993845;0,57;192;0,382851824
47,46422901;0,450205105;0,57;193;0,375544726
47,65796055;0,441485535;0,57;194;0,368172195
47,8516921;0,43283512;0,57;195;0,360735515
48,04542365;0,424253848;0,57;196;0,353235981
48,2391552;0,415741702;0,57;197;0,345674901
48,43288674;0,407298671;0,57;198;0,338053592
48,62661829;0,398924738;0,57;199;0,330373381
48,82034984;0,390619891;0,57;200;0,322635607
49,01408138;0,382384115;0,57;201;0,314841618
49,20781293;0,374217397;0,57;202;0,306992772
49,40154448;0,366119721;0,57;203;0,299090437
49,59527602;0,358091074;0,57;204;0,291135989
49,78900757;0,350131442;0,57;205;0,283130815
49,98273912;0,34224081;0,57;206;0,275076309
50,17647067;0,334419164;0,57;207;0,266973874
50,37020221;0,32666649;0,57;208;0,258824923
50,56393376;0,319096204;0,57;209;0,250630875
50,75766531;0,311282245;0,57;210;0,242393158
50,95139685;0,302946751;0,57;211;0,234113207
51,1451284;0,294089374;0,57;212;0,225792465
51,33885995;0,284709768;0,57;213;0,217432382
51,53259149;0,274807587;0,57;214;0,209034414
51,72632304;0,262153889;0,57;215;0,200600025
51,92005459;0,245521931;0,57;216;0,192130684
52,11378614;0,225288641;0,57;217;0,183627866
52,30751768;0,210674496;0,57;218;0,175093054
52,50124923;0,197314808;0,57;219;0,166527734
52,69498078;0,184209207;0,57;220;0,157933399
52,88871232;0,171357525;0,57;221;0,149311547
53,08244387;0,158759594;0,57;222;0,140663678
53,27617542;0,146415247;0,57;223;0,131991301
53,46990696;0,134324317;0,57;224;0,123295926
53,66363851;0,125146203;0,57;225;0,114579069
53,85737006;0,115976891;0,57;226;0,105842248
54,05110161;0,106796627;0,57;227;0,097086985
54,24483315;0,097605426;0,57;228;0,088314806
54,4385647;0,088403301;0,57;229;0,079527239
54,63229625;0,079190267;0,57;230;0,070725816
54,82602779;0,069966339;0,57;231;0,061912069
55,01975934;0,060731532;0,57;232;0,053087536
55,21349089;0,05148586;0,57;233;0,044253752
55,40722243;0,042229338;0,57;234;0,035412258
55,60095398;0,03296198;0,57;235;0,026564594
55,79468553;0,023683802;0,57;236;0,017712301
55,98841707;0,014394816;0,57;237;0,008856922
56,18214862;0,005095039;0,57;238;8,22E-17
56,37588017;-0,004215515;-0,57;1;-0,008856922
56,56961172;-0,013536831;-0,57;2;-0,017712301
56,76334326;-0,022868896;-0,57;3;-0,026564594
56,95707481;-0,032211694;-0,57;4;-0,035412258
57,15080636;-0,041565212;-0,57;5;-0,044253752
57,3445379;-0,050929433;-0,57;6;-0,053087536
57,53826945;-0,060304344;-0,57;7;-0,061912069
57,732001;-0,06968993;-0,57;8;-0,070725816
57,92573254;-0,080594161;-0,57;9;-0,079527239
58,11946409;-0,094338776;-0,57;10;-0,088314806
58,31319564;-0,108797447;-0,57;11;-0,097086985
58,50692719;-0,123970118;-0,57;12;-0,105842248
58,70065873;-0,139856731;-0,57;13;-0,114579069
58,89439028;-0,155476268;-0,57;14;-0,123295926
59,08812183;-0,165812825;-0,57;15;-0,131991301
59,28185337;-0,176171347;-0,57;16;-0,140663678
59,47558492;-0,186551832;-0,57;17;-0,149311547
59,66931647;-0,196954278;-0,57;18;-0,157933399
59,86304801;-0,207378683;-0,57;19;-0,166527734
60,05677956;-0,217825045;-0,57;20;-0,175093054
60,25051111;-0,228293363;-0,57;21;-0,183627866
60,44424266;-0,238783634;-0,57;22;-0,192130684
60,6379742;-0,249295857;-0,57;23;-0,200600025
60,83170575;-0,259830029;-0,57;24;-0,209034414
61,0254373;-0,270647231;-0,57;25;-0,217432382
61,21916884;-0,281612389;-0,57;26;-0,225792465
61,41290039;-0,292483181;-0,57;27;-0,234113207
61,60663194;-0,303259538;-0,57;28;-0,242393158
61,80036348;-0,313941394;-0,57;29;-0,250630875
61,99409503;-0,32452868;-0,57;30;-0,258824923
62,18782658;-0,335021329;-0,57;31;-0,266973874
62,38155812;-0,345419272;-0,57;32;-0,275076309
62,57528967;-0,35617405;-0,57;33;-0,283130815
62,76902122;-0,367027721;-0,57;34;-0,291135989
62,96275277;-0,37787144;-0,57;35;-0,299090437
63,15648431;-0,38870518;-0,57;36;-0,306992772
63,35021586;-0,399528915;-0,57;37;-0,314841618
63,54394741;-0,410342619;-0,57;38;-0,322635607
63,73767895;-0,421146264;-0,57;39;-0,330373381
63,9314105;-0,430750299;-0,57;40;-0,338053592
64,12514205;-0,438746207;-0,57;41;-0,345674901
64,31887359;-0,446185402;-0,57;42;-0,353235981
64,51260514;-0,453067917;-0,57;43;-0,360735515
64,70633669;-0,459393789;-0,57;44;-0,368172195
64,90006824;-0,465163052;-0,57;45;-0,375544726
65,09379978;-0,470375742;-0,57;46;-0,382851824
65,28753133;-0,475031895;-0,57;47;-0,390092214
65,48126288;-0,479131546;-0,57;48;-0,397264637
65,67499442;-0,484794334;-0,57;49;-0,404367841
65,86872597;-0,490402685;-0,57;50;-0,41140059
66,06245752;-0,495923022;-0,57;51;-0,418361657
66,25618906;-0,501355296;-0,57;52;-0,425249831
66,44992061;-0,506699455;-0,57;53;-0,43206391
66,64365216;-0,511955451;-0,57;54;-0,438802708
66,83738371;-0,517123232;-0,57;55;-0,445465051
67,03111525;-0,522202748;-0,57;56;-0,452049777
67,2248468;-0,527193949;-0,57;57;-0,458555739
67,41857835;-0,532096786;-0,57;58;-0,464981805
67,61230989;-0,536911207;-0,57;59;-0,471326853
67,80604144;-0,541637163;-0,57;60;-0,477589779
67,99977299;-0,546274603;-0,57;61;-0,483769492
68,19350453;-0,550823478;-0,57;62;-0,489864914
68,38723608;-0,555283738;-0,57;63;-0,495874983
68,58096763;-0,559655332;-0,57;64;-0,501798653
68,77469917;-0,56393821;-0,57;65;-0,507634892
68,96843072;-0,568132323;-0,57;66;-0,513382681
69,16216227;-0,57223762;-0,57;67;-0,519041021
69,35589382;-0,576254052;-0,57;68;-0,524608925
69,54962536;-0,580181569;-0,57;69;-0,530085422
69,74335691;-0,584020121;-0,57;70;-0,53546956
69,93708846;-0,587769657;-0,57;71;-0,540760398
70,13082;-0,591430129;-0,57;72;-0,545957017
70,32455155;-0,595001487;-0,57;73;-0,55105851
70,5182831;-0,598135544;-0,57;74;-0,556063988
70,71201464;-0,600861686;-0,57;75;-0,560972579
70,90574619;-0,60280528;-0,57;76;-0,565783429
71,09947774;-0,60455874;-0,57;77;-0,570495698
71,29320929;-0,606434449;-0,57;78;-0,575108566
71,48694083;-0,608362211;-0,57;79;-0,579621229
71,68067238;-0,61034202;-0,57;80;-0,584032901
71,87440393;-0,612373872;-0,57;81;-0,588342813
72,06813547;-0,614457763;-0,57;82;-0,592550214
72,26186702;-0,61659369;-0,57;83;-0,596654371
72,45559857;-0,618090557;-0,57;84;-0,600654568
72,64933011;-0,619468692;-0,57;85;-0,60455011
72,84306166;-0,62081453;-0,57;86;-0,608340317
